100
Abbie 27 148.60 58.30
Abigail 25 159.30 51.50
Ada 19 149.20 58.60
Adela 37 156.20 42.10
Adelaide 13 145.90 49.00
Adele 36 154.00 52.60
Adeline 21 153.60 57.20
Agatha 39 156.70 56.80
Agnes 32 153.00 58.20
Aileen 25 146.70 52.30
Aimee 32 140.20 52.90
Alana 17 146.90 45.80
Alberta 21 145.60 59.30
Alexandra 23 142.90 44.20
Alexia 34 151.90 42.10
Alice 14 159.80 53.70
Alicia 23 157.00 51.50
Alison 30 149.10 52.60
Allyn 32 147.30 55.60
Alma 11 159.60 57.00
Amanda 14 152.50 50.50
Amber 35 153.60 52.70
Amelia 43 152.90 44.60
Amy 25 152.40 45.70
Ana 24 154.50 58.20
Anastasia 14 143.40 56.70
Andrea 17 155.00 44.30
Angela 28 147.60 40.80
Angelia 13 158.40 58.80
Angelica 49 155.40 45.10
Angelina 46 146.00 53.20
Anita 22 153.90 56.80
Ann 24 158.60 42.60
Anna 20 159.50 53.90
Annabel 37 157.80 43.40
Annabella 32 149.70 40.10
Annabelle 22 149.20 51.70
Anne 10 150.10 55.60
Annie 35 144.10 48.60
Anthonia 29 144.40 48.90
Antonia 41 152.90 44.00
April 21 149.70 51.70
Arabella 39 147.50 48.10
Ariel 26 156.70 52.70
Arlene 36 155.30 49.70
Ashley 13 150.60 56.50
Audrey 18 142.40 41.90
Augusta 39 153.20 47.10
Aurelia 40 141.90 50.30
Averil 45 150.80 56.80
Avril 46 154.90 54.00
Barbara 15 141.80 52.30
Beatrice 11 145.10 44.60
Beatrix 18 157.90 55.50
Becky 11 142.80 56.40
Belinda 30 159.30 55.00
Bella 14 156.40 43.40
Bertha 26 158.70 51.40
Bethany 37 149.10 54.30
Betty 26 145.90 56.50
Beverley 47 155.10 43.20
Beverly 17 147.50 42.80
Blythe 28 152.10 47.40
Bonnie 47 142.90 59.50
Brenda 28 159.30 43.50
Brianna 21 154.30 42.80
Bridget 26 152.90 52.80
Britney 13 144.30 40.40
Brittany 16 153.80 41.30
Calista 28 150.40 44.00
Cameron 19 148.80 52.80
Camilla 46 151.70 51.70
Carey 40 154.30 52.40
Carla 29 149.00 58.30
Carlie 14 152.50 57.20
Carol 29 150.50 59.00
Carolina 39 158.60 55.40
Caroline 34 154.20 48.20
Carolyn 45 150.70 59.70
Casey 21 154.80 40.40
Cassie 29 142.80 42.20
Catherine 18 154.60 54.30
Cecilia 41 142.20 54.00
Cecily 11 140.50 41.00
Celeste 48 153.00 46.10
Charlie 26 152.00 50.50
Charlotte 12 142.60 44.40
Chelsea 26 150.80 46.50
Cherie 14 145.80 48.20
Cherry 34 146.20 43.70
Cheryl 22 143.60 40.00
Chloe 40 157.90 49.90
Christiana 23 147.10 46.80
Christina 20 148.10 53.10
Christine 30 149.40 53.30
Cindy 31 159.90 56.30
Claire 49 159.60 49.90
Clara 38 141.30 57.30
Clarice 16 149.50 59.00
Clarissa 30 148.40 46.60
