100
Carol 29 150.50 59.00
Caroline 34 154.20 48.20
Carey 40 154.30 52.40
Christiana 23 147.10 46.80
Ana 24 154.50 58.20
Annie 35 144.10 48.60
Bella 14 156.40 43.40
Alexandra 23 142.90 44.20
Andrea 17 155.00 44.30
Ada 19 149.20 58.60
Cindy 31 159.90 56.30
Betty 26 145.90 56.50
Britney 13 144.30 40.40
Ariel 26 156.70 52.70
Alison 30 149.10 52.60
Adela 37 156.20 42.10
Anastasia 14 143.40 56.70
Angela 28 147.60 40.80
Amy 25 152.40 45.70
Angelica 49 155.40 45.10
Amber 35 153.60 52.70
Clarice 16 149.50 59.00
Becky 11 142.80 56.40
Christine 30 149.40 53.30
Amanda 14 152.50 50.50
Aimee 32 140.20 52.90
Abigail 25 159.30 51.50
Carlie 14 152.50 57.20
Adele 36 154.00 52.60
Beverly 17 147.50 42.80
Cherie 14 145.80 48.20
Carla 29 149.00 58.30
Anne 10 150.10 55.60
Alana 17 146.90 45.80
Brittany 16 153.80 41.30
Ann 24 158.60 42.60
Arlene 36 155.30 49.70
Claire 49 159.60 49.90
Annabel 37 157.80 43.40
Audrey 18 142.40 41.90
Casey 21 154.80 40.40
Ashley 13 150.60 56.50
Agnes 32 153.00 58.20
Carolyn 45 150.70 59.70
Abbie 27 148.60 58.30
Angelia 13 158.40 58.80
Cecily 11 140.50 41.00
Agatha 39 156.70 56.80
Averil 45 150.80 56.80
Cherry 34 146.20 43.70
Cecilia 41 142.20 54.00
Alice 14 159.80 53.70
Alicia 23 157.00 51.50
Allyn 32 147.30 55.60
Anthonia 29 144.40 48.90
April 21 149.70 51.70
Chelsea 26 150.80 46.50
Celeste 48 153.00 46.10
Arabella 39 147.50 48.10
Beatrice 11 145.10 44.60
Charlotte 12 142.60 44.40
Alberta 21 145.60 59.30
Beverley 47 155.10 43.20
Belinda 30 159.30 55.00
Annabelle 22 149.20 51.70
Cassie 29 142.80 42.20
Aurelia 40 141.90 50.30
Adeline 21 153.60 57.20
Camilla 46 151.70 51.70
Bethany 37 149.10 54.30
Antonia 41 152.90 44.00
Carolina 39 158.60 55.40
Beatrix 18 157.90 55.50
Cameron 19 148.80 52.80
Brenda 28 159.30 43.50
Adelaide 13 145.90 49.00
Catherine 18 154.60 54.30
Angelina 46 146.00 53.20
Aileen 25 146.70 52.30
Christina 20 148.10 53.10
Calista 28 150.40 44.00
Clara 38 141.30 57.30
Bonnie 47 142.90 59.50
Brianna 21 154.30 42.80
Blythe 28 152.10 47.40
Clarissa 30 148.40 46.60
Barbara 15 141.80 52.30
Anita 22 153.90 56.80
Annabella 32 149.70 40.10
Augusta 39 153.20 47.10
Avril 46 154.90 54.00
Alma 11 159.60 57.00
Charlie 26 152.00 50.50
Anna 20 159.50 53.90
Bridget 26 152.90 52.80
Chloe 40 157.90 49.90
Amelia 43 152.90 44.60
Bertha 26 158.70 51.40
Cheryl 22 143.60 40.00
Alexia 34 151.90 42.10
